Burial,Untrue
Nicole Dollanganger,Married in Mount Airy
They Might Be Giants,Flood
Ethel Cain,Golden Age
Ethel Cain,Crush (Stripped)
Ethel Cain,Carpet Bed EP
Low,HEY WHAT
Milk & Bone,Little Mourning
Milk & Bone,Chrysalism
Burial,Streetlands EP
Xiu Xiu,Pahrump
Saint Ephraim Male Choir,Wings
Florence + the Machine,How Big How Blue How Beautiful (Deluxe)
Julien Baker,Sprained Ankle
M83,Fantasy - Chapter 1
Lana Del Rey,Did you know that there's a tunnel under Ocean Blvd
Lana Del Rey,A&W
Wednesday Campanella,Galapagos
The Star Killers,American Blues
Opeth,Damnation
Emma Ruth Rundle,May Our Chambers Be Full
Blur,Blur (Special Edition)
Angus & Julia Stone,Angus & Julia Stone (Deluxe)
Ólafur Arnalds,re:member
Little Simz,NO THANK YOU
Harry Nilsson,A Little Touch of Schmilsson in the Night
Sweet Flood,Lavender
Laura Marling,Lump
Anaïs Mitchell,Anaïs Mitchell
Rebecca Black,Let Her Burn
The Postal Service,Give Up (Deluxe 10th Anniversary Edition)
Brand New,Science Fiction
Burial,Burial
Blank Banshee,Mega
Blank Banshee,BLANK BANSHEE 0
Spellling,The Turning Wheel
Purity Ring,another eternity
on4word,In Rainbow Roads
Phoebe Bridgers,Punisher
Elita,She Bangs Like a Fairy on Acid
FKA twigs,CAPRISONGS
Shura,forevher
Simon & Garfunkel,Wednesday Morning 3 A.M.
Parannoul,To See the Next Part of the Dream
Michelle,HEATWAVE
Radiohead,A Moon Shaped Pool
Radiohead,In Rainbows
Kali Uchis,Sin Miedo (del Amor y Otros Demonios) ∞
Ivan Ulz,Songs From the Old School
Florence + the Machine,Ceremonials (Deluxe Edition)
Kidsongs,Christmas Songs for Kids
Kate Bush,The Dreaming (2018 Remaster)
The Cure,Disintegration (Deluxe Edition)
Gerard Way,Baby You're a Haunted House
Chris Remo,Firewatch (Original Score)
Malajube,Trompe l'œil
Florence + the Machine,Moderation
Blind Willie Johnson,Dark Was the Night (Mojo Workin'- Blues for the Next Generation)
sad13,Haunted Painting
Chrissy Chlapecka,I'm So Hot
CHVRCHES,Out Of My Head
CHVRCHES,Love is Dead
CHVRCHES,Screen Violence
The Knife,Silent Shout (Audio/Visual Experience)
tricot,3
HMLTD,The Worm
Little Simz,Sometimes I Might Be Introvert
Fever Ray,Kandy
boygenius,boygenius
King Vision Ultra,SHOOK WORLD (hosted by Algiers)
William Basinski,The Disintegration Loops (Remastered)
Radiohead,The Bends
Backxwash,I LIE HERE BURIED WITH MY RINGS AND MY DRESSES
Wednesday Campanella,NEON
